"Demographic component"	"Canton"	"Citizenship (category)"	"Sex"	"Age"	"2019"
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"73 years"	3459
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"74 years"	3349
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"75 years"	3237
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"76 years"	3024
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"77 years"	2853
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"78 years"	2703
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"79 years"	2573
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"80 years"	2394
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"81 years"	2238
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"82 years"	2113
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"83 years"	2031
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"84 years"	1895
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"85 years"	1680
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"86 years"	1563
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"87 years"	1382
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"88 years"	1217
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"89 years"	1044
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"90 years"	823
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"91 years"	733
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"92 years"	535
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"93 years"	406
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"94 years"	321
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"95 years"	243
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"96 years"	178
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"97 years"	103
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"98 years"	80
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"99 years or older"	121
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Sex - Total"	"No indication"	0
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"Age - Total"	205976
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"0 years"	2191
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"1 year"	2301
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"2 years"	2309
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"3 years"	2238
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"4 years"	2175
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"5 years"	2255
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"6 years"	2171
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"7 years"	2249
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"8 years"	2191
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"9 years"	2136
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"10 years"	2204
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"11 years"	2221
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"12 years"	2090
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"13 years"	2058
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"14 years"	2038
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"15 years"	2008
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"16 years"	1955
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"17 years"	2071
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"18 years"	2102
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"19 years"	2279
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"20 years"	2454
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"21 years"	2372
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"22 years"	2679
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"23 years"	2662
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"24 years"	2719
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"25 years"	2751
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"26 years"	2913
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"27 years"	2937
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"28 years"	2961
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"29 years"	3055
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"30 years"	2926
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"31 years"	3122
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"32 years"	2952
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"33 years"	3016
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"34 years"	3013
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"35 years"	3074
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"36 years"	3063
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"37 years"	3071
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"38 years"	2844
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"39 years"	2887
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"40 years"	2741
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"41 years"	2783
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"42 years"	2851
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"43 years"	2748
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"44 years"	2643
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"45 years"	2636
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"46 years"	2683
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"47 years"	2897
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"48 years"	2948
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"49 years"	2998
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"50 years"	3106
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"51 years"	3047
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"52 years"	3186
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"53 years"	3172
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"54 years"	3235
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"55 years"	3435
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"56 years"	3215
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"57 years"	3080
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"58 years"	2915
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"59 years"	2891
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"60 years"	2673
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"61 years"	2667
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"62 years"	2579
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"63 years"	2490
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"64 years"	2324
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"65 years"	2070
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"66 years"	2003
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"67 years"	2007
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"68 years"	1894
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"69 years"	1927
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"70 years"	1886
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"71 years"	1853
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"72 years"	1664
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"73 years"	1660
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"74 years"	1604
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"75 years"	1568
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"76 years"	1429
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"77 years"	1247
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"78 years"	1214
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"79 years"	1123
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"80 years"	1049
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"81 years"	977
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"82 years"	915
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"83 years"	828
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"84 years"	759
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"85 years"	651
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"86 years"	584
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"87 years"	548
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"88 years"	453
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"89 years"	364
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"90 years"	273
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"91 years"	218
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"92 years"	160
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"93 years"	117
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"94 years"	96
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"95 years"	56
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"96 years"	49
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"97 years"	29
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"98 years"	19
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"99 years or older"	26
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Man"	"No indication"	0
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"Age - Total"	207144
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"0 years"	2102
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"1 year"	2111
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"2 years"	2134
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"3 years"	2114
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"4 years"	2108
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"5 years"	2005
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"6 years"	2052
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"7 years"	2044
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"8 years"	2075
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"9 years"	2116
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"10 years"	1979
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"11 years"	2004
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"12 years"	1991
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"13 years"	2038
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"14 years"	1860
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"15 years"	1926
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"16 years"	1840
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"17 years"	1926
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"18 years"	1940
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"19 years"	2207
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"20 years"	2308
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"21 years"	2382
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"22 years"	2422
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"23 years"	2628
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"24 years"	2565
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"25 years"	2602
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"26 years"	2760
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"27 years"	2825
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"28 years"	2963
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"29 years"	3096
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"30 years"	2947
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"31 years"	2976
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"32 years"	2931
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"33 years"	2958
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"34 years"	2873
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"35 years"	2889
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"36 years"	2853
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"37 years"	2981
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"38 years"	2797
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"39 years"	2841
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"40 years"	2779
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"41 years"	2783
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"42 years"	2609
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"43 years"	2672
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"44 years"	2689
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"45 years"	2573
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"46 years"	2689
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"47 years"	2851
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"48 years"	2876
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"49 years"	2891
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"50 years"	3132
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"51 years"	3195
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"52 years"	3127
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"53 years"	3209
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"54 years"	3158
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"55 years"	3202
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"56 years"	3123
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"57 years"	2979
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"58 years"	2892
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"59 years"	2818
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"60 years"	2755
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"61 years"	2564
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"62 years"	2513
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"63 years"	2280
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"64 years"	2201
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"65 years"	2271
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"66 years"	2065
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"67 years"	2125
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"68 years"	1953
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"69 years"	2005
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"70 years"	1936
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"71 years"	1922
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"72 years"	1856
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"73 years"	1799
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"74 years"	1745
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"75 years"	1669
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"76 years"	1595
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"77 years"	1606
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"78 years"	1489
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"79 years"	1450
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"80 years"	1345
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"81 years"	1261
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"82 years"	1198
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"83 years"	1203
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"84 years"	1136
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"85 years"	1029
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"86 years"	979
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"87 years"	834
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"88 years"	764
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"89 years"	680
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"90 years"	550
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"91 years"	515
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"92 years"	375
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"93 years"	289
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"94 years"	225
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"95 years"	187
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"96 years"	129
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"97 years"	74
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"98 years"	61
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"99 years or older"	95
"Population on 31 December"	"Luzern"	"Citizenship (category) - Total"	"Woman"	"No indication"	0
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"Age - Total"	36703
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"0 years"	347
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"1 year"	359
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"2 years"	374
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"3 years"	352
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"4 years"	344
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"5 years"	343
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"6 years"	343
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"7 years"	379
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"8 years"	340
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"9 years"	382
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"10 years"	374
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"11 years"	349
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"12 years"	352
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"13 years"	380
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"14 years"	362
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"15 years"	388
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"16 years"	380
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"17 years"	411
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"18 years"	379
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"19 years"	419
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"20 years"	394
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"21 years"	435
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"22 years"	449
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"23 years"	443
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"24 years"	433
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"25 years"	462
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"26 years"	453
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"27 years"	457
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"28 years"	458
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"29 years"	474
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"30 years"	454
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"31 years"	439
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"32 years"	461
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"33 years"	497
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"34 years"	439
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"35 years"	481
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"36 years"	412
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"37 years"	441
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"38 years"	415
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"39 years"	451
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"40 years"	451
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"41 years"	449
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"42 years"	455
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"43 years"	462
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"44 years"	441
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"45 years"	506
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"46 years"	496
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"47 years"	502
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"48 years"	493
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"49 years"	520
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"50 years"	548
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"51 years"	549
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"52 years"	524
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"53 years"	580
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"54 years"	564
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"55 years"	599
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"56 years"	541
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"57 years"	559
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"58 years"	514
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"59 years"	526
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"60 years"	522
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"61 years"	530
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"62 years"	480
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"63 years"	513
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"64 years"	443
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"65 years"	452
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"66 years"	449
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"67 years"	460
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"68 years"	401
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"69 years"	420
